,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
0,18.0,8,307.0,130.0,3504,12.0,70,1
1,15.0,8,350.0,165.0,3693,11.5,70,1
2,18.0,8,318.0,150.0,3436,11.0,70,1
3,16.0,8,304.0,150.0,3433,12.0,70,1
4,17.0,8,302.0,140.0,3449,10.5,70,1
5,15.0,8,429.0,198.0,4341,10.0,70,1
6,14.0,8,454.0,220.0,4354,9.0,70,1
7,14.0,8,440.0,215.0,4312,8.5,70,1
8,14.0,8,455.0,225.0,4425,10.0,70,1
9,15.0,8,390.0,190.0,3850,8.5,70,1
10,15.0,8,383.0,170.0,3563,10.0,70,1
11,14.0,8,340.0,160.0,3609,8.0,70,1
12,15.0,8,400.0,150.0,3761,9.5,70,1
13,14.0,8,455.0,225.0,3086,10.0,70,1
14,24.0,4,113.0,95.0,2372,15.0,70,3
15,22.0,6,198.0,95.0,2833,15.5,70,1
16,18.0,6,199.0,97.0,2774,15.5,70,1
17,21.0,6,200.0,85.0,2587,16.0,70,1
18,27.0,4,97.0,88.0,2130,14.5,70,3
19,26.0,4,97.0,46.0,1835,20.5,70,2
20,25.0,4,110.0,87.0,2672,17.5,70,2
21,24.0,4,107.0,90.0,2430,14.5,70,2
22,25.0,4,104.0,95.0,2375,17.5,70,2
23,26.0,4,121.0,113.0,2234,12.5,70,2
24,21.0,6,199.0,90.0,2648,15.0,70,1
25,10.0,8,360.0,215.0,4615,14.0,70,1
26,10.0,8,307.0,200.0,4376,15.0,70,1
27,11.0,8,318.0,210.0,4382,13.5,70,1
28,9.0,8,304.0,193.0,4732,18.5,70,1
29,27.0,4,97.0,88.0,2130,14.5,71,3
30,28.0,4,140.0,90.0,2264,15.5,71,1
31,25.0,4,113.0,95.0,2228,14.0,71,3
32,25.0,4,98.0,93.5,2046,19.0,71,1
33,19.0,6,232.0,100.0,2634,13.0,71,1
34,16.0,6,225.0,105.0,3439,15.5,71,1
35,17.0,6,250.0,100.0,3329,15.5,71,1
36,19.0,6,250.0,88.0,3302,15.5,71,1
37,18.0,6,232.0,100.0,3288,15.5,71,1
38,14.0,8,350.0,165.0,4209,12.0,71,1
39,14.0,8,400.0,175.0,4464,11.5,71,1
40,14.0,8,351.0,153.0,4154,13.5,71,1
41,14.0,8,318.0,150.0,4096,13.0,71,1
42,12.0,8,383.0,180.0,4955,11.5,71,1
43,13.0,8,400.0,170.0,4746,12.0,71,1
44,13.0,8,400.0,175.0,5140,12.0,71,1
45,18.0,6,258.0,110.0,2962,13.5,71,1
46,22.0,4,140.0,72.0,2408,19.0,71,1
47,19.0,6,250.0,100.0,3282,15.0,71,1
48,18.0,6,250.0,88.0,3139,14.5,71,1
49,23.0,4,122.0,86.0,2220,14.0,71,1
50,28.0,4,116.0,90.0,2123,14.0,71,2
51,30.0,4,79.0,70.0,2074,19.5,71,2
52,30.0,4,88.0,76.0,2065,14.5,71,2
53,31.0,4,71.0,65.0,1773,19.0,71,3
54,35.0,4,72.0,69.0,1613,18.0,71,3
55,27.0,4,97.0,60.0,1834,19.0,71,2
56,26.0,4,91.0,70.0,1955,20.5,71,1
57,24.0,4,113.0,95.0,2278,15.5,72,3
58,25.0,4,97.5,80.0,2126,17.0,72,1
59,23.0,4,97.0,54.0,2254,23.5,72,2
60,20.0,4,140.0,90.0,2408,19.5,72,1
61,21.0,4,122.0,86.0,2226,16.5,72,1
62,13.0,8,350.0,165.0,4274,12.0,72,1
63,14.0,8,400.0,175.0,4385,12.0,72,1
64,15.0,8,318.0,150.0,4135,13.5,72,1
65,14.0,8,351.0,153.0,4129,13.0,72,1
66,17.0,8,304.0,150.0,3672,11.5,72,1
67,11.0,8,429.0,208.0,4633,11.0,72,1
68,13.0,8,350.0,155.0,4502,13.5,72,1
69,12.0,8,350.0,160.0,4456,13.5,72,1
70,13.0,8,400.0,190.0,4422,12.5,72,1
71,19.0,3,70.0,97.0,2330,13.5,72,3
72,15.0,8,304.0,150.0,3892,12.5,72,1
73,13.0,8,307.0,130.0,4098,14.0,72,1
74,13.0,8,302.0,140.0,4294,16.0,72,1
75,14.0,8,318.0,150.0,4077,14.0,72,1
76,18.0,4,121.0,112.0,2933,14.5,72,2
77,22.0,4,121.0,76.0,2511,18.0,72,2
78,21.0,4,120.0,87.0,2979,19.5,72,2
79,26.0,4,96.0,69.0,2189,18.0,72,2
80,22.0,4,122.0,86.0,2395,16.0,72,1
81,28.0,4,97.0,92.0,2288,17.0,72,3
82,23.0,4,120.0,97.0,2506,14.5,72,3
83,28.0,4,98.0,80.0,2164,15.0,72,1
84,27.0,4,97.0,88.0,2100,16.5,72,3
85,13.0,8,350.0,175.0,4100,13.0,73,1
86,14.0,8,304.0,150.0,3672,11.5,73,1
